City,LocalTime,Temperature_C,Wind_Speed_kph,Humidity,Condition
Usak,2023-09-13 18:12,28.0,15.1,17,Sunny
Van,2023-09-13 18:12,15.0,15.1,67,Partly cloudy
Yalova,2023-09-13 18:12,26.0,25.9,42,Sunny
Yozgat,2023-09-13 18:13,16.1,10.1,41,Sunny
Zonguldak,2023-09-13 18:12,26.0,20.2,37,Sunny
Adana,2023-09-14 18:12,32.0,22.0,20,Sunny
Adiyaman,2023-09-14 18:12,25.7,11.9,14,Sunny
Afyonkarahisar,2023-09-14 18:12,25.0,6.8,18,Sunny
Agri,2023-09-14 18:12,11.5,6.8,59,Sunny
Aksaray,2023-09-14 18:12,17.9,11.9,23,Sunny
Amasya,2023-09-14 18:12,22.0,28.1,35,Sunny
Ankara,2023-09-14 18:12,25.0,3.6,24,Sunny
Antalya,2023-09-14 18:12,32.0,22.0,18,Sunny
Ardahan,2023-09-14 18:12,9.0,10.1,73,Sunny
Artvin,2023-09-14 18:12,23.0,11.2,65,Partly cloudy
Aydin,2023-09-14 18:12,33.0,19.1,30,Sunny
Balikesir,2023-09-14 18:12,30.0,19.1,24,Sunny
Bartin,2023-09-14 18:12,25.0,16.9,51,Sunny
Batman,2023-09-14 18:12,32.0,13.0,20,Sunny
Bayburt,2023-09-14 18:12,9.0,11.9,79,Sunny
Bilecik,2023-09-14 18:12,29.0,16.9,20,Sunny
Bingol,2023-09-14 18:12,19.2,9.4,22,Sunny
Bitlis,2023-09-14 18:12,26.0,3.6,24,Partly cloudy
Bolu,2023-09-14 18:12,18.3,3.6,46,Partly cloudy
Burdur,2023-09-14 18:12,28.0,20.2,15,Sunny
Bursa,2023-09-14 18:12,29.0,16.9,20,Sunny
Canakkale,2023-09-14 18:12,29.0,20.2,35,Sunny
Cankiri,2023-09-14 18:12,17.3,6.8,35,Sunny
Corum,2023-09-14 18:12,15.6,14.0,48,Sunny
Denizli,2023-09-14 18:12,28.0,20.2,15,Sunny
Diyarbakir,2023-09-14 18:12,31.0,11.2,16,Sunny
Duzce,2023-09-14 18:12,18.3,3.6,46,Partly cloudy
Edirne,2023-09-14 18:12,28.0,3.6,26,Sunny
Elazig,2023-09-14 18:12,28.0,15.1,14,Sunny
Erzincan,2023-09-14 18:12,25.0,3.6,28,Sunny
Erzurum,2023-09-14 18:12,20.0,11.2,18,Sunny
Eskisehir,2023-09-14 18:12,27.0,6.1,23,Sunny
Gaziantep,2023-09-14 18:12,31.0,3.6,9,Sunny
Giresun,2023-09-14 18:12,15.3,4.3,74,Sunny
Gumushane,2023-09-14 18:12,9.8,8.6,83,Cloudy
Hakkari,2023-09-14 18:12,11.1,5.0,56,Sunny
Hatay,2023-09-14 18:12,23.3,10.4,30,Sunny
Igdir,2023-09-14 18:12,24.0,6.1,31,Partly cloudy
Isparta,2023-09-14 18:12,27.0,20.2,20,Sunny
Istanbul,2023-09-14 18:12,28.0,19.1,30,Clear
Izmir,2023-09-14 18:12,29.0,19.1,43,Sunny
Kahramanmaras,2023-09-14 18:12,21.6,9.7,16,Sunny
Karabuk,2023-09-14 18:12,16.9,5.8,33,Sunny
Karaman,2023-09-14 18:12,17.3,18.0,21,Sunny
Kars,2023-09-14 18:12,18.0,11.2,37,Partly cloudy
Kastamonu,2023-09-14 18:12,15.2,9.7,39,Sunny
Kayseri,2023-09-14 18:12,23.0,3.6,17,Sunny
Kirikkale,2023-09-14 18:12,24.0,3.6,27,Sunny
Kirklareli,2023-09-14 18:12,28.0,11.2,37,Sunny
